790 80
12 29 79
4 52 7
0 68 67
2 10 38
25 57 51
20 54 66
7 70 9
8 70 63
2 24 27
49 65 22
1 58 80
51 61 42
19 47 88
42 59 36
36 51 70
12 15 24
4 54 82
26 32 64
34 60 71
61 76 65
9 42 4
34 40 55
12 73 70
59 63 68
12 61 89
3 75 79
7 44 18
40 58 43
11 58 25
9 38 11
29 52 16
5 68 56
21 42 46
24 45 95
46 51 17
27 32 17
23 35 17
18 56 58
14 22 72
30 41 10
22 30 64
25 77 36
32 47 81
12 19 14
0 66 53
32 52 10
8 63 54
27 58 13
13 26 93
4 42 90
0 27 44
36 77 45
33 41 91
23 54 97
18 65 8
32 58 61
23 60 85
41 59 69
3 44 2
0 62 41
48 67 5
55 56 84
13 14 24
61 65 83
41 58 62
49 55 27
12 60 83
72 73 82
8 22 95
8 41 65
38 54 37
9 56 11
16 60 89
40 44 67
56 71 100
59 60 85
4 30 50
48 70 73
4 50 68
46 64 73
37 70 69
34 65 63
59 69 39
70 79 18
23 72 74
25 74 77
23 26 79
5 41 51
32 43 85
54 78 97
63 74 98
47 77 22
20 76 36
59 70 57
24 30 87
38 65 96
35 69 21
15 31 79
49 75 86
34 72 23
41 62 8
28 79 22
2 13 46
21 32 32
25 73 15
7 56 58
46 66 34
29 77 23
32 70 71
31 57 49
21 48 47
53 77 39
24 49 32
23 36 37
44 65 8
42 53 39
8 74 15
3 10 42
10 24 61
7 42 36
30 58 67
24 78 51
7 49 91
45 50 8
54 76 35
29 51 18
49 78 98
0 13 72
11 73 29
24 53 56
32 56 5
10 44 17
22 62 60
15 20 52
3 16 46
13 63 79
18 28 33
38 75 94
43 56 78
33 34 52
0 9 73
0 1 86
11 54 59
14 53 8
21 57 55
22 71 15
31 35 46
26 69 16
36 67 39
0 33 69
43 48 22
64 76 46
37 71 66
58 66 60
31 79 33
24 75 80
60 67 19
4 63 56
31 41 45
2 34 6
0 11 79
53 60 78
2 49 77
4 13 6
32 40 33
3 66 79
24 39 12
3 15 31
33 65 1
41 46 66
12 78 30
22 66 13
19 63 23
1 50 29
22 39 26
9 37 54
35 61 17
68 71 98
7 37 7
7 18 21
41 49 87
7 76 74
38 63 40
12 38 74
0 24 84
14 17 85
9 64 34
69 70 15
53 74 6
3 5 93
25 58 70
6 49 43
12 69 79
64 79 50
34 35 34
36 60 86
42 49 3
58 68 19
29 44 36
6 63 57
38 79 85
46 61 52
0 19 41
2 15 49
46 62 47
4 19 98
33 63 86
16 71 95
15 77 2
23 53 98
10 56 99
10 14 19
33 75 99
30 64 81
72 79 85
9 34 60
4 32 8
5 67 61
6 36 75
47 65 88
67 76 63
38 52 56
11 42 56
1 79 77
46 57 84
15 75 65
17 73 30
18 40 40
52 71 41
9 62 26
32 45 59
6 30 74
16 53 49
30 55 78
24 74 7
18 42 34
29 30 83
0 52 61
9 18 55
17 53 50
29 45 51
25 41 90
9 44 12
24 77 98
2 45 84
15 29 71
28 49 62
25 68 13
17 35 34
40 63 20
32 46 96
24 69 26
17 19 72
9 50 100
11 37 61
41 64 61
1 35 76
4 10 95
2 33 23
30 66 87
43 74 93
50 55 36
6 9 15
8 24 39
11 47 14
40 49 45
8 27 90
57 76 96
25 30 47
13 31 21
18 29 90
42 78 71
55 71 38
18 66 51
9 46 75
3 62 95
43 50 33
0 49 76
42 52 69
2 65 99
18 24 2
60 66 93
1 47 72
14 32 85
65 78 95
15 49 18
27 64 93
20 25 56
9 70 78
37 75 71
24 72 71
5 37 99
24 67 52
24 27 3
35 65 19
9 19 93
54 67 75
47 63 9
6 58 61
13 60 35
54 58 97
17 63 69
16 35 32
47 49 44
33 50 11
61 69 76
36 62 52
52 77 21
67 75 54
38 56 70
25 42 95
10 27 70
17 26 58
18 63 78
23 48 91
39 50 30
17 52 74
48 57 59
22 77 16
2 71 93
9 77 10
44 69 23
11 51 2
8 44 97
28 63 9
35 57 47
25 27 94
38 77 22
29 63 29
17 37 14
24 55 85
38 55 100
26 43 79
69 73 22
59 76 66
27 28 53
1 40 5
44 66 82
15 56 36
65 73 73
14 63 21
16 61 19
21 75 41
26 36 95
27 62 51
38 74 8
45 64 85
44 60 69
57 62 40
65 77 75
2 46 94
3 59 35
18 19 78
56 68 48
2 18 48
32 36 3
32 41 43
25 39 23
3 48 16
42 68 49
34 69 47
43 53 76
45 74 57
39 40 36
12 70 97
20 33 12
9 41 3
36 69 26
23 45 7
48 51 48
5 27 49
9 24 54
32 75 50
27 59 95
27 63 36
13 50 67
1 27 59
37 56 52
15 33 34
41 48 88
29 41 35
27 48 77
14 36 24
0 77 11
17 33 42
24 56 57
11 68 99
16 42 81
50 53 94
24 63 46
9 47 44
52 56 98
16 27 96
25 47 40
13 73 52
14 61 91
64 69 22
9 25 77
7 51 48
10 50 62
19 23 4
28 61 17
17 72 83
18 59 86
42 76 33
13 51 85
44 67 51
34 70 64
20 32 12
9 58 92
18 70 90
9 75 58
13 15 95
35 53 99
5 75 41
19 69 82
9 31 10
14 75 50
1 71 67
50 78 13
15 48 74
28 50 95
1 64 36
19 25 14
1 54 88
25 59 91
63 66 95
19 59 72
31 71 8
33 69 56
72 77 19
55 67 57
3 65 25
19 38 29
10 47 78
16 66 85
47 50 67
21 41 70
39 46 11
8 17 97
18 27 57
9 66 50
44 70 92
43 58 97
50 57 10
13 32 79
1 6 90
0 57 80
3 24 50
48 65 80
49 68 2
6 39 34
40 73 53
5 60 42
22 69 93
29 35 43
37 64 81
11 34 66
6 10 73
42 58 60
55 78 91
2 63 55
9 33 19
53 59 82
30 56 12
39 70 73
14 66 79
7 9 74
15 38 61
16 31 64
73 75 100
33 79 78
24 66 20
10 37 79
3 13 50
8 61 11
40 72 53
13 40 20
5 55 97
12 64 64
62 64 3
60 63 28
52 63 50
10 68 18
36 37 58
1 72 45
50 70 38
14 38 61
26 71 89
15 26 11
49 62 51
30 54 32
47 59 47
22 37 81
39 69 44
23 79 6
68 76 48
18 33 38
32 49 8
28 65 57
50 71 58
46 79 97
1 59 43
5 69 73
11 24 100
21 64 41
55 66 84
3 39 29
6 65 49
0 6 68
9 14 81
30 37 78
3 63 86
9 22 35
43 69 23
40 67 64
4 40 11
2 62 12
31 45 43
14 60 74
41 57 91
11 76 29
5 17 29
42 66 4
0 26 92
58 64 46
46 54 5
48 63 53
23 39 98
56 74 5
3 40 11
22 55 84
61 72 82
19 79 63
16 45 41
7 45 79
52 72 57
8 52 62
30 39 14
13 36 35
7 54 68
9 54 77
67 78 63
6 61 27
51 78 53
17 64 80
28 45 58
24 33 4
39 75 29
28 56 26
63 67 95
14 74 35
39 58 33
26 30 69
39 62 17
37 49 23
30 67 64
29 42 98
12 63 29
29 59 15
8 62 76
33 53 74
19 39 94
17 70 12
19 72 64
5 7 45
44 62 83
60 71 69
23 33 20
38 53 74
23 59 5
31 51 85
37 61 81
62 78 44
8 64 56
4 45 44
38 45 46
9 45 98
25 35 15
13 22 7
32 64 18
17 20 41
11 38 37
57 66 11
24 60 69
6 18 41
50 75 49
16 21 67
29 54 17
8 12 30
27 47 53
13 70 79
35 38 99
37 72 29
62 67 15
49 71 16
3 47 78
6 42 55
2 44 81
38 66 20
16 75 8
45 59 14
41 77 96
39 67 15
59 75 32
23 76 65
22 63 45
22 38 62
2 28 75
5 51 36
19 58 49
63 71 21
26 34 24
55 73 85
75 79 99
74 75 2
14 51 88
16 19 97
29 50 20
26 37 11
8 35 85
12 44 65
9 68 49
2 42 90
0 2 8
17 65 83
33 76 57
28 55 9
25 49 28
8 49 62
10 75 78
11 29 6
43 64 31
13 45 42
31 61 35
24 73 87
18 53 94
58 59 47
0 25 62
23 65 74
35 59 36
22 49 39
49 74 20
34 45 85
2 66 85
59 79 44
4 59 13
13 37 61
18 20 78
46 74 78
31 40 19
23 31 19
20 21 16
1 55 52
14 42 27
32 37 63
53 68 46
7 24 60
44 47 41
3 34 21
0 54 70
4 28 12
41 74 15
2 30 61
13 19 44
52 66 35
31 52 63
52 55 65
43 68 15
49 73 95
50 65 94
19 30 26
77 78 87
2 31 55
33 62 87
41 52 75
40 47 95
9 40 80
36 45 23
17 78 16
0 79 35
4 22 20
6 46 73
26 72 12
5 9 30
24 50 6
42 67 53
35 41 82
29 46 21
54 70 80
58 73 20
19 32 59
9 15 94
5 72 29
22 31 46
6 27 28
3 6 66
23 61 58
0 21 72
4 18 53
35 52 75
48 50 32
55 72 97
19 27 98
38 68 84
55 64 53
35 60 61
7 50 25
18 71 31
22 28 28
21 53 32
20 52 28
34 47 72
37 63 92
1 33 3
54 68 43
43 59 46
12 49 44
26 60 93
2 17 63
13 38 65
38 58 55
1 31 25
26 76 17
48 59 77
17 57 91
39 66 20
49 79 2
64 72 37
1 57 97
31 42 98
10 72 17
45 48 13
12 14 43
36 74 45
8 56 53
11 48 11
14 31 86
0 20 61
28 54 85
25 51 78
8 65 11
32 35 14
65 79 73
4 60 98
55 79 49
50 63 60
65 74 58
17 38 46
0 31 19
42 43 49
42 70 46
21 62 77
11 75 95
12 24 7
25 76 78
30 72 10
8 76 66
46 78 23
2 32 46
8 48 44
67 77 27
8 58 85
30 77 17
17 59 59
3 28 74
6 33 66
64 78 88
23 75 26
18 68 50
14 34 18
45 51 73
35 79 53
34 71 30
16 74 37
61 68 8
54 56 5
28 29 4
20 69 36
13 62 35
25 79 5
24 48 92
6 53 70
23 73 24
12 68 56
46 65 89
32 59 69
68 77 19
64 74 66
2 7 88
